vowel,duration,word,syl_num,syl_in_word,par?_of_word,par?_of_speech,first,final,nasal,,СРЗНАЧ,СТАНДОТКЛОН
u,0.070154834, afu,2,2,root,,yes,yes,not nasal,а,0.081863986,0.02480261
u,0.073981461, afu,2,2,root,,yes,yes,not nasal,?,0.075272236,0.019553304
u,0.081634716, afu,2,2,root,,yes,yes,not nasal,,,
a,0.081634716, afu  ,1,2,pref,,yes,no,not nasal,,,
a,0.068879292, afu  ,1,2,pref,,yes,no,not nasal,,,
a,0.072705919, afu  ,1,2,pref,,yes,no,not nasal,,,
u,0.090689403, apu,2,2,root,,yes,yes,not nasal,,,
u,0.069855351, apu,2,2,root,,no,yes,not nasal,,,
u,0.081480402, apu,2,2,root,,yes,yes,not nasal,,,
a,0.085787273, apu  ,1,2,pref,,yes,no,not nasal,,,
a,0.078434078, apu  ,1,2,pref,,yes,no,not nasal,,,
a,0.068944955, apu  ,1,2,pref,,yes,no,not nasal,,,
?,0.105294165, ap?,2,2,root,,yes,yes,not nasal,,,
?,0.093314821, ap?,2,2,root,,yes,yes,not nasal,,,
?,0.103012385, ap?,2,2,root,,yes,yes,not nasal,,,
a,0.079507839, ap?  ,1,2,pref,,yes,no,not nasal,,,
a,0.083196347, ap?  ,1,2,pref,,yes,no,not nasal,,,
a,0.087560527, ap?  ,1,2,pref,,yes,no,not nasal,,,
a,0.134871058, ba  ,1,1,roo?,,no,yes,not nasal,,,
a,0.110841993, ba  ,1,1,roo?,,no,yes,not nasal,,,
a,0.103835272, ba  ,1,1,roo?,,no,yes,not nasal,,,
a,0.103897006, ba  ,1,1,roo?,,no,yes,not nasal,,,
a,0.117279181, baa  ,1,1,roo?,,no,yes,not nasal,,,
a,0.136825711, baa  ,1,1,roo?,,no,yes,not nasal,,,
i,0.056029492, baali,2,2,root,,no,yes,not nasal,,,
i,0.059531336, baali,2,2,root,,yes,yes,not nasal,,,
i,0.059252418, baali,2,2,root,,yes,yes,not nasal,,,
a,0.128288692, baali  ,1,2,roo?,,no,no,not nasal,,,
a,0.116728109, baali  ,1,2,roo?,,no,no,not nasal,,,
a,0.143671985, baali  ,1,2,roo?,,no,no,not nasal,,,
i,0.049868412, bali,2,2,root,,no,yes,not nasal,,,
i,0.076464899, bali,2,2,root,,no,yes,not nasal,,,
i,0.050484072, bali,2,2,root,,yes,yes,not nasal,,,
a,0.104723666, bali  ,1,2,roo?,,no,no,not nasal,,,
a,0.132982433, bali  ,1,2,roo?,,no,no,not nasal,,,
a,0.116113365, bali  ,1,2,roo?,,no,no,not nasal,,,
?,0.15957892, b?  ,1,1,roo?,,no,yes,not nasal,,,
?,0.137661445, b?  ,1,1,roo?,,no,yes,not nasal,,,
?,0.158840129, b?  ,1,1,roo?,,no,yes,not nasal,,,
?,0.045374099, b?r?d?,1,3,,,no,no,not nasal,,,
?,0.047354393, b?r?d?,1,3,,,no,no,not nasal,,,
?,0.051561476, b?r?d?,2,3,,,no,no,not nasal,,,
?,0.090748198, b?r?d?,3,3,,,no,yes,not nasal,,,
?,0.072216849, b?r?d?,3,3,,,no,yes,not nasal,,,
?,0.065998689, b?r?d? ,1,3,,,no,no,not nasal,,,
?,0.061873771, b?r?d? ,2,3,,,no,no,not nasal,,,
?,0.043896516, b?r?d? ,2,3,,,no,no,not nasal,,,
?,0.098998034, b?r?d? ,3,3,,,no,yes,not nasal,,,
i,0.092785006, bili  ,1,2,roo?,V,no,no,not nasal,,,
i,0.072100558, bili  ,1,2,roo?,V,no,no,not nasal,,,
i,0.093032978, bili  ,1,2,roo?,V,no,no,not nasal,,,
i,0.049485337, bili  ,2,2,root,V,no,yes,not nasal,,,
i,0.056982699, bili  ,2,2,root,V,no,yes,not nasal,,,
i,0.074426382, bili  ,2,2,root,V,no,yes,not nasal,,,
i,0.14889147, biri  ,1,2,roo?,V,no,no,not nasal,,,
i,0.144419072, biri  ,1,2,roo?,V,no,no,not nasal,,,
i,0.144949117, biri  ,1,2,roo?,V,no,no,not nasal,,,
i,0.072209536, biri  ,2,2,root,V,no,yes,not nasal,,,
i,0.119941263, biri  ,2,2,root,V,no,yes,not nasal,,,
i,0.101680724, biri  ,2,2,root,V,no,yes,not nasal,,,
u,0.05916487, bu??wi,1,3,,,no,no,not nasal,,,
u,0.047570604, bu??wi,1,3,,,no,no,not nasal,,,
u,0.041310747, bu??wi  ,1,3,,,no,no,not nasal,,,
?,0.098582464, but?wi,2,3,,,no,no,not nasal,,,
i,0.083975944, but?wi,3,3,,,no,yes,not nasal,,,
i,0.048676897, but?wi,3,3,,,no,yes,not nasal,,,
