time,phoneme,F1,F2,F3
13.1409556006528,,217.78216702390225,1346.66250012308,2233.2955908462154
26.325696824289224,ɩ,276.0428426850931,1348.65292072953,2476.5041166389633
26.43861764145752,,304.01138623607346,1163.9132678482392,2544.42002945521
26.568246130553774,ʋ,216.1262359956694,839.853111600132,2177.068886061956
26.950839294854724,,355.8527048851932,1454.5103293506327,2353.3503622384487
27.316552510442044,ɩ,278.10389699735384,846.5108315591623,2444.9964962353383
27.433878554439346,,250.44927262122772,1303.5408246421391,2253.979969110377
27.556733050771605,ʋ,289.0295937665298,623.9324506830698,2416.5795769180654
27.915592840563992,,449.73859633760424,1643.1661983677493,2410.290814833891
28.262842049639726,ɩ,254.23164191323505,943.5672289523062,2443.9836044923536
55.73206326585914,,1027.8160171518327,1133.659174403622,2486.2079140960786
83.21459631861282,a,729.1267320781425,1068.2033360697078,1541.0877670866473
83.78207692525959,,855.6482938373745,1762.016158184157,2896.1699042286655
84.35937948558768,a,701.0552392466742,1575.6986780818706,2854.458633084172
85.0510777836055,,269.55126830162226,1389.6502824023657,2603.9844303820582
85.72659874614816,a,682.8878973915497,1525.2865147988357,1792.0189081336116
106.47420409820572,,555.7260691921248,1412.878735719106,2348.086972651555
127.21381591227667,a,677.0962565076857,1524.2463091116829,2829.5606180929653
127.77167827231966,,240.5741564855906,1215.4807644736663,2348.1466963619146
128.33914435198636,a,580.6495341927272,1513.0255771202471,1823.723004447699
128.85286389344503,,507.14581104525115,1454.8731889010674,2815.6601965692003
129.36362752369246,a,676.2385870632438,1513.1579875818425,1537.808798766678
148.4396420960066,,282.23866249433024,1098.9008340094279,2125.7597820951446
167.52149213287342,u,320.15291741224235,965.3989254302136,2649.656122442331
168.1550271927464,,958.0070777788405,1740.5061678282405,2670.142775746729
168.779530436837,u,356.56411208076975,971.8332508430808,2597.006544819841
169.27897433853116,,362.0744752100811,1471.7922920644214,1941.3645894171013
169.78833120876692,u,347.6184616641969,876.8276662481085,2529.982967740692
187.28216585186277,,261.48458702552733,1464.1698508253808,2327.8242860025516
204.7721443698698,o,527.596352829382,1040.6861127666027,1956.7637882861834
205.28823827676194,,341.7959796600498,1233.208981006479,2034.2596407717733
205.79751700806807,o,427.1457152914668,870.8068575707217,2163.545417095304
206.26533301460535,,1071.8866944792226,1885.1672930378218,2768.1041827463996
206.7250638132018,o,475.252099072938,1003.1311286232915,1866.3291295610802
210.7370734612473,,1000.9751340261545,1507.8086127324289,2631.016644461704
214.7566690581035,o,475.4189680244753,1183.9375326640913,1582.212625689285
215.22686256014117,,898.6455071259331,1900.533495589497,2522.7467783326947
215.69823414792478,o,412.17875525588306,1109.4910462095975,1548.7614293053157
216.15468768960346,,909.4839283794714,1789.1155923919937,2569.952691290944
216.60702766060055,o,462.5277587078204,1161.7638202361293,1224.7156645980963
244.73468506826742,,308.6784927096918,1129.8866948086377,1881.3045477542282
272.86948359689075,a,667.9567088918349,1407.2512359284358,2776.8592954442033
272.9975517401858,,761.6692929579937,1419.0270475725995,2803.117779151746
273.12807094842424,ʋ,355.6115123574936,623.5302074247984,1916.7485994440362
273.5408258976678,,861.4181771914875,1515.84896166878,2455.3563693070614
273.9474531845528,a,694.7744546165293,1340.551662070679,1749.1751315278589
274.0736830291402,,691.4898558859127,1349.2731085874123,2421.5418671828857
274.19562351007664,ʋ,347.32502919029673,787.9516602063748,1719.0253795140459
274.5311096987756,,769.7125025459346,1636.2912471238017,2454.3919706605498
274.86614068969925,a,722.3023883412981,1337.1634343664848,2654.855061306298
274.98627205127264,,819.7450235939002,1671.0900531519726,2660.294171111927
275.11267113605857,ʋ,418.571093925527,949.0586252562284,2134.508983759808
296.235669145525,,1226.6867634533044,1273.2379858327827,2487.6445807226432
317.35874431211766,a,771.6395771569137,1400.2385019310132,2681.287541180868
317.4926762680805,,716.2246984233939,1341.6078054122977,2431.401039446774
317.6208682830735,u,348.66354062573464,1229.8798451582434,2373.633547451912
318.12717352372067,,417.16645109730865,1279.6829706386213,2498.8430748492433
318.632840993149,a,596.3542643846445,1292.1184257261546,2848.2897612418146
318.74827758376455,,732.1318098246104,1311.2605448720349,2258.243281869037
318.86626525925556,u,317.65760649089066,1441.111861278365,2360.1960442358723
319.27363997415875,,824.303983788689,1501.6223454303222,2520.943097148854
319.6803769178431,a,659.8068441786056,1367.9285333808275,2706.740684562752
319.80155344942847,,695.0088700782884,1377.4042189928634,2436.577037789449
319.927194379546,u,280.7962056793015,1096.1201049825165,2229.4847799471872
341.11793784156595,,992.8508240137367,1493.727683073596,2492.4164743343267
362.3189122878856,ɩ,281.86330040252864,1402.9893949575724,2347.230771301496
362.4480594248806,,1389.9036027735197,2504.4765939673125,3331.4394735024357
362.5718543228428,ʋ,335.3522861840647,1231.63353458112,2138.425393900439
363.08869288321137,,707.241794579521,1333.7730775453679,2037.703361399457
363.6005464141317,ɩ,265.7046106401856,1659.9715045739538,2635.5015708109277
363.7251721503353,,1528.7865982293317,2397.077822990902,3200.125248883632
363.85644459246964,ʋ,329.599116301572,986.8212688510861,2102.011064666198
364.2438405417985,,1006.9500538827416,2005.083787941762,2833.427707595693
364.62733216048764,ɩ,265.4771344174045,1363.1976297745432,2529.847593098329
364.75701354769853,,1266.1650237912645,2404.7642229042053,3453.244427976711
364.87990533348477,ʋ,324.5554940487478,1258.8051286212692,2376.570951064172
388.1440560694508,,1379.9663437386184,2313.5246487292766,2627.974063081147
411.42868204790443,o,351.4399299927585,738.1440195164961,2250.4711222379037
411.59077048739675,,427.92307532345814,1418.5384329997896,2489.2226634832186
411.7458623036016,u,350.95072624153914,1740.3387073501947,2320.863148962859
412.1926683382002,,535.6617029540972,1318.2059769405237,2838.0220164914076
412.6625490950548,o,339.9321829031161,882.9773144477856,2590.2499516036473
412.8386190022949,,1095.3729618338893,2326.1309653134135,2567.1282141511833
412.9920264462268,u,383.2797805955041,1706.4353178715976,2628.2578002454143
413.66807155478443,,1005.3268340555929,2067.694305215445,2938.9196032292607
414.34381041383784,o,340.2575729634463,787.3309917953551,2466.1776836501454
414.5057221709239,,260.13841073449714,1570.5948853326242,2435.42880662678
414.656467599935,u,300.76780774906723,797.168177867984,2196.7025291455625
434.70416580232325,,276.7767137594276,1264.2788672300258,2186.0883488200834
454.75253577573704,a,738.8996440857538,1380.858595945906,2615.697468075885
454.8873767722404,,795.078526945568,1408.4943335716537,2645.2130845147794
455.0351109317559,ʋ,431.9307108365667,728.8957073701207,1831.7726594340206
455.4947229713107,,415.6820333060773,1462.7133881772536,2350.1547638625975
455.94328610184084,a,723.8388126966712,1379.289619557922,2685.610367728103
456.0725777214807,,795.0107953176121,1382.9840445240582,2240.909789909376
456.2069285784107,ʋ,378.1073779367558,1115.0819158607055,2282.9916710563944
456.589400744811,,564.2324968865285,1268.570224514547,2308.7951709518125
456.96899576422464,a,727.9891287066135,1445.75427924521,2610.8570901772955
457.09930643111284,,817.4572512527253,1386.3240569391642,2565.6713495622894
457.2373430268679,ʋ,400.64496743641143,948.6220978672243,1849.8851940313546
